#Model Name: Siggraph_LargerFieldOfView_May28_AddedAbsorberTube_UpdatedPivotForEyeRollToCoR_10p5FromPupil.3
#Runtime [min]: 2651.25
#Number of rays/source: 500000.0
#xsampling: 21 ysampling: 21 zsampling: 11
#xmin: -12.0#xmax: 12.0#ymin: -12.0#ymax: 12.0#zmin: 33.19#zmax: 57.19
x,y,z,nonuniformity,source_center,source_left,source_right,source_bottom,source_top
-1.200000000000000000e+01,-1.200000000000000000e+01,3.318999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,3.558999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,3.798999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,4.039000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,4.278999999999999915e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,4.518999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,4.758999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,4.998999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,5.239000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,5.478999999999999204e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.200000000000000000e+01,5.718999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,3.318999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,3.558999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,3.798999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,4.039000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,4.278999999999999915e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,4.518999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,4.758999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,4.998999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,5.239000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,5.478999999999999204e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-1.080000000000000071e+01,5.718999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,3.318999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.987584085150541746e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,3.558999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.297300578288611028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,3.798999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.095673342040508302e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,4.039000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.095694882948753701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,4.278999999999999915e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.692306394299995276e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,4.518999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.085277798212733558e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,4.758999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.780036726511571032e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,4.998999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.636681067416972439e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,5.239000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.015954013019575655e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,5.478999999999999204e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.884330421831866147e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-9.599999999999999645e+00,5.718999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.814605814810133211e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,3.318999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.987496128901973691e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996183410130028868e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,3.558999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.297300578288611028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
